booking_id,passenger_id,flight_id,booking_date,status,seat_number,status_was_unknown,passport_hash,booking_total_amount,payment_count,payments_missing_amount,has_payment
B1000,P1591,AI192,2025-06-14 11:37:36.951,CANCELLED,3D,False,cf099ba2aed1273b,,0,,False
B1001,P1803,6F026,2025-11-02 11:37:36.951,CANCELLED,18A,False,c835f24acf0402f3,,0,,False
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,30C,False,9201cf47f69eeabc,8593.08,2,0.0,True
B1003,P1364,AI069,2025-12-30 11:37:36.951,CONFIRMED,33A,False,ae804d8e0656b009,,0,,False
B1004,P1885,UK003,2025-10-02 11:37:36.951,PENDING,25C,False,9f7acf9be4637ae0,12222.48,1,0.0,True
B1005,P1548,AI048,2025-08-31 11:37:36.951,CONFIRMED,13D,False,fa63a12df3e28897,13378.9,1,0.0,True
B1006,P1341,AI140,2025-06-29 11:37:36.951,CANCELLED,17F,False,0c16aa942cbd1d10,14980.37,1,0.0,True
B1007,P1838,UK167,2026-03-12 11:37:36.951,CONFIRMED,22E,False,eba1c99711916f5f,,0,,False
B1008,P1406,AI245,2025-09-07 11:37:36.951,PENDING,34F,False,6e34ad5c78184ae1,,0,,False
B1009,P1424,SJ158,2025-04-28 11:37:36.951,CANCELLED,33C,False,7efe106a347ff1f2,,0,,False
B1010,P1743,AI155,2025-11-24 11:37:36.951,CONFIRMED,15B,False,2a05178956ccb946,,1,1.0,True
B1011,P1092,AI179,2025-10-25 11:37:36.951,CONFIRMED,22C,False,59327be2e9cbc099,2115.18,1,0.0,True
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,28B,False,ee80b05427d58a1b,23702.39,4,1.0,True
B1013,P1613,SJ001,2025-07-20 11:37:36.951,CONFIRMED,26E,False,3017ecc990c74d89,1176.33,1,0.0,True
B1014,P1411,SJ172,2025-09-15 11:37:36.951,PENDING,21E,False,0f8c75dcc7f991b6,,0,,False
B1015,P1431,UK094,2025-10-21 11:37:36.951,UNKNOWN,6F,True,09c9adf2a75f470e,19609.66,2,0.0,True
B1016,P1677,UK027,2026-01-13 11:37:36.951,CANCELLED,6A,False,b3c1677477311cf2,23800.77,2,0.0,True
B1017,P1158,UK067,2026-04-04 11:37:36.951,CONFIRMED,13B,False,23df18dbf3194be9,,0,,False
B1018,P1013,6F196,2026-03-25 11:37:36.951,CANCELLED,19B,False,908930bfe4fd34da,2588.63,1,0.0,True
B1019,P1372,6F164,2025-07-31 11:37:36.951,CANCELLED,19A,False,287ab12696140513,18621.0,3,1.0,True
B1020,P1224,SJ112,2025-12-06 11:37:36.951,CONFIRMED,27B,False,31d040c25cd0d53b,8150.35,1,0.0,True
B1021,P1504,6F190,2025-12-07 11:37:36.951,CANCELLED,4E,False,f0ea39803d02f37e,6949.93,1,0.0,True
